frame,time,act,segment,kind,expected,A_zxing,A_opencv,A_zbar,A_pass,B_down540_zxing,B_jpeg40_zxing,B_blur1.5_zxing,B_rot4_zxing,B_persp_zxing,B_gamma0.8_zxing,B_gamma1.25_zxing,B_pass,C_main_zxing,C_main_opencv,C_main_pass,C_xtest_zxing,C_xtest_opencv,C_xtest_pass,C_pass,pred_opencv_block_errors,pred_zxing_block_errors,safety_lifted,safety_grown
330,11.0,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,1,2,15,0
331,11.033,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,1,2,13,0
332,11.067,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,1,2,13,0
333,11.1,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,2,2,13,0
334,11.133,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,1,2,15,0
335,11.167,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,1,2,15,0
336,11.2,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,1,2,15,0
337,11.233,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,1,2,15,0
338,11.267,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,1,2,15,0
339,11.3,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,1,3,15,0
340,11.333,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,1,3,15,0
341,11.367,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,1,3,15,0
342,11.4,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,1,3,15,0
343,11.433,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,1,3,14,0
344,11.467,flower,5,word,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,5/8 - HIDDEN,5/8 - HIDDEN,True,True,1,2,14,0
345,11.5,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,1,2,26,0
346,11.533,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,1,1,30,0
347,11.567,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,31,0
348,11.6,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,33,0
349,11.633,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,33,0
350,11.667,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,1,1,33,0
351,11.7,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,34,0
352,11.733,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,34,0
353,11.767,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,31,0
354,11.8,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,31,0
355,11.833,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,32,0
356,11.867,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,33,0
357,11.9,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,34,0
358,11.933,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,34,0
359,11.967,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,34,0
360,12.0,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,34,0
361,12.033,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,32,0
362,12.067,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,34,0
363,12.1,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,34,0
364,12.133,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,35,0
365,12.167,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,33,0
366,12.2,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,33,0
367,12.233,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,35,0
368,12.267,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,34,0
369,12.3,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,34,0
370,12.333,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,31,0
371,12.367,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,30,0
372,12.4,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,31,0
373,12.433,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,30,0
374,12.467,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,31,0
375,12.5,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,31,0
376,12.533,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,30,0
377,12.567,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,30,0
378,12.6,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,1,1,30,0
379,12.633,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,30,0
380,12.667,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,28,0
381,12.7,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,29,0
382,12.733,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,29,0
383,12.767,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,29,0
384,12.8,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,1,28,0
385,12.833,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,2,27,0
386,12.867,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,2,27,0
387,12.9,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,2,27,0
388,12.933,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,2,27,0
389,12.967,flower,6,word,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,6/8 - INSIDE,6/8 - INSIDE,True,True,0,2,27,0
390,13.0,flower,7,bonus,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,True,0,2,26,0
391,13.033,flower,7,bonus,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,True,0,2,27,0
392,13.067,flower,7,bonus,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,True,0,1,27,0
393,13.1,flower,7,bonus,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,True,0,1,30,0
394,13.133,flower,7,bonus,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,True,0,1,30,0
395,13.167,flower,7,bonus,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,True,0,1,31,0
396,13.2,flower,7,bonus,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,True,0,2,35,0
397,13.233,flower,7,bonus,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,True,0,1,34,0
398,13.267,flower,7,bonus,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,You paused at the right moment.,You paused at the right moment.,True,True,0,2,36,0
