frame,time,act,segment,kind,expected,A_zxing,A_opencv,A_zbar,A_pass,B_down540_zxing,B_jpeg40_zxing,B_blur1.5_zxing,B_rot4_zxing,B_persp_zxing,B_gamma0.8_zxing,B_gamma1.25_zxing,B_pass,C_main_zxing,C_main_opencv,C_main_pass,C_xtest_zxing,C_xtest_opencv,C_xtest_pass,C_pass,pred_opencv_block_errors,pred_zxing_block_errors,safety_lifted,safety_grown
12,0.4,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
13,0.433,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
14,0.467,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
15,0.5,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
16,0.533,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
17,0.567,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
18,0.6,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
19,0.633,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
20,0.667,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
21,0.7,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
22,0.733,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
23,0.767,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
24,0.8,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
25,0.833,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
26,0.867,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
27,0.9,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
28,0.933,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
29,0.967,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
30,1.0,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
31,1.033,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
32,1.067,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
33,1.1,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
34,1.133,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
35,1.167,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
36,1.2,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
37,1.233,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
38,1.267,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
39,1.3,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
40,1.333,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
41,1.367,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
42,1.4,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
43,1.433,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
44,1.467,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,0,0
45,1.5,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,1,128
46,1.533,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,1,148
47,1.567,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,1,150
48,1.6,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,1,158
49,1.633,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,1,163
50,1.667,title,0,title,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,Pause anywhere. Scan me.,Pause anywhere. Scan me.,True,True,1,0,1,154
